City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Pahrump,US,46.45,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
522,Romans-Sur-Isere,FR,55.56,few clouds,45.0464,5.0562,le clos des tanneurs
525,Port Hawkesbury,CA,52.18,mist,45.6169,-61.3485,MacKenzie House Tourist Home B&B
527,Taucha,DE,43.99,clear sky,51.3833,12.4833,ibis Leipzig Nord Ost
538,Oka,CA,59.25,moderate rain,45.4649,-74.0889,Parc national d'Oka
539,Adelanto,US,51.42,overcast clouds,34.5828,-117.4092,Days Inn Adelanto-Victorville
540,Frutigen,CH,42.51,overcast clouds,46.5878,7.6475,Hotel Restaurant National - Confiserie Philipp Blaser
546,Illapel,CL,56.91,overcast clouds,-31.6308,-71.1653,Hotel Londres
556,Marienburg,PL,54.84,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
559,Kathmandu,NP,59.22,mist,27.7167,85.3167,Hotel Shanker Kathmandu
565,Wencheng,CN,57.67,overcast clouds,33.0559,113.7978,Ruyi Hostel
572,Hun,LY,58.14,clear sky,29.1268,15.9477,Alrwasi Hotel
580,Talcahuano,CL,56.88,overcast clouds,-36.7167,-73.1167,departamento comodo
581,Kashi,CN,40.21,clear sky,39.4547,75.9797,帕米尔青年旅舍
586,Goderich,CA,49.91,overcast clouds,43.7501,-81.7165,Harmony Inn
587,Sergach,RU,42.85,moderate rain,55.5308,45.4661,"Medvezhiy Ugol, Gostinitsa"
590,Sistranda,NO,49.96,overcast clouds,63.7256,8.834,Hotell Frøya
592,Raudeberg,NO,50.67,overcast clouds,61.9875,5.1352,Nordre Silda.
593,Nemuro,JP,53.53,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
596,Ambrolauri,GE,41.04,few clouds,42.5211,43.1622,Chateau Dio
603,Taybad,IR,45.19,broken clouds,34.74,60.7756,لی پوش jean center
605,Nevel,RU,49.59,overcast clouds,56.0209,29.9284,Uyut
606,Kokstad,ZA,56.66,overcast clouds,-30.5472,29.4241,Majestic Bed and Breakfast
613,Fereydun Kenar,IR,58.01,broken clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
619,Rottingdean,GB,56.82,overcast clouds,50.8098,-0.0594,Snooze
621,Tacuarembo,UY,59.54,scattered clouds,-31.7333,-55.9833,Complejo San Fructuoso
625,Montemor-O-Novo,PT,59.07,broken clouds,38.6481,-8.2145,L'and Vineyards
627,Bereda,ES,47.41,clear sky,43.2686,-7.5406,Pazo de Verdes
629,Coihaique,CL,52.41,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
633,Bose,IT,54.73,overcast clouds,45.4612,8.0137,Locanda Borgo Antico
639,Kaspiysk,RU,41.18,mist,42.8816,47.6392,Alima Hostel
640,Uyuni,BO,41.5,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
645,Newburn,GB,55.96,overcast clouds,54.9876,-1.7442,Premier Inn Newcastle (Metro Centre) hotel
648,Margate,GB,55.9,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
650,Eregli,TR,43.65,clear sky,37.5133,34.0467,Hotel Fuat Bey
