City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Canutama,BR,-6.5339,-64.3831,73.13,99,100,2.82,overcast clouds
162,Halifax,CA,44.6453,-63.5724,57.49,91,100,1.99,light rain
163,Xuddur,SO,4.1213,43.8894,69.69,89,4,10.38,clear sky
164,Oussouye,SN,12.485,-16.5469,75.58,80,89,6.29,overcast clouds
165,Carutapera,BR,-1.195,-46.02,77.52,86,27,5.06,scattered clouds
166,Sturgeon Bay,US,44.8342,-87.377,34.16,69,75,14.97,broken clouds
167,Ribeira Grande,PT,38.5167,-28.7,63.77,69,53,18.01,broken clouds
168,Nikolskoye,RU,59.7035,30.7861,53.49,90,100,11.88,overcast clouds
169,Matay,EG,28.419,30.7792,60.6,80,0,9.26,clear sky
170,Dikson,RU,73.5069,80.5464,-5.44,100,62,3.42,broken clouds
171,Vardo,NO,70.3705,31.1107,39.67,95,100,8.93,light rain
172,Fuxin,CN,42.0156,121.6589,31.62,93,100,16.75,snow
173,French Harbor,HN,16.35,-86.4333,82.4,90,20,0.0,few clouds
174,Sao Filipe,CV,14.8961,-24.4956,76.87,71,62,4.34,broken clouds
175,Klaksvik,FO,62.2266,-6.589,49.12,79,97,24.14,overcast clouds
176,Vila Velha,BR,-20.3297,-40.2925,75.94,88,20,10.0,few clouds
177,Pisco,PE,-13.7,-76.2167,63.01,82,0,5.75,clear sky
178,Ancud,CL,-41.8697,-73.8203,52.41,97,100,3.87,overcast clouds
179,Charagua,BO,-19.8,-63.2167,69.44,77,37,2.91,scattered clouds
180,Iralaya,HN,15.0,-83.2333,79.63,79,69,6.24,broken clouds
181,Villa Bruzual,VE,9.3328,-69.1208,74.25,93,96,3.18,overcast clouds
182,Georgetown,MY,5.4112,100.3354,85.93,79,20,5.75,few clouds
183,Chokurdakh,RU,70.6333,147.9167,-26.05,99,89,6.6,overcast clouds
184,Te Anau,NZ,-45.4167,167.7167,66.7,53,100,1.54,overcast clouds
185,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.69,85,5,6.53,clear sky
186,Vanavara,RU,60.34,102.2797,23.77,89,100,14.65,overcast clouds
187,Alakurtti,RU,66.9672,30.3491,33.44,95,87,5.08,overcast clouds
188,Mecayapan,MX,18.2167,-94.8333,70.72,93,0,3.13,clear sky
189,Salalah,OM,17.0151,54.0924,75.29,64,0,1.14,clear sky
190,Mayumba,GA,-3.432,10.6554,76.17,89,97,7.18,moderate rain
191,Xining,CN,36.6167,101.7667,30.56,83,100,3.4,overcast clouds
192,Flin Flon,CA,54.7682,-101.865,7.09,91,82,5.48,broken clouds
193,Pundaguitan,PH,6.3711,126.1689,82.35,79,89,11.14,overcast clouds
194,Eschwege,DE,51.1833,10.0667,47.88,87,88,2.55,overcast clouds
195,Srednekolymsk,RU,67.45,153.6833,-15.75,98,100,4.76,overcast clouds
196,Walvis Bay,NA,-22.9575,14.5053,55.09,86,0,9.13,clear sky
197,Kumluca,TR,36.3703,30.2869,62.62,53,0,6.17,clear sky
198,Ingham,US,42.6,-84.3833,39.9,73,100,11.5,overcast clouds
199,San Jose,US,37.3394,-121.895,53.82,72,0,3.0,clear sky
200,East London,ZA,-33.0153,27.9116,70.3,88,71,13.11,broken clouds
201,Fallon,US,39.4735,-118.7774,33.67,75,0,0.0,clear sky
202,Amahai,ID,-3.3333,128.9167,85.46,70,99,4.43,overcast clouds
203,Waingapu,ID,-9.6567,120.2641,87.51,65,89,11.86,overcast clouds
204,Teknaf,BD,20.8624,92.3058,78.13,66,22,4.99,few clouds
205,Saint-Philippe,RE,-21.3585,55.7679,74.79,70,6,6.42,clear sky
206,Japura,ID,-0.3167,102.35,84.2,71,96,4.43,overcast clouds
207,Lata,PT,40.1629,-8.3327,53.08,82,0,5.06,clear sky
208,Yumen,CN,40.2833,97.2,35.6,41,0,5.06,clear sky
209,Airai,TL,-8.9266,125.4092,76.32,56,87,1.81,overcast clouds
210,Chernyshevskiy,RU,63.0128,112.4714,20.14,93,100,12.95,light snow
211,Hamilton,US,39.1834,-84.5333,51.24,81,100,14.97,overcast clouds
212,Maceio,BR,-9.6658,-35.7353,74.64,100,40,1.14,scattered clouds
213,Hithadhoo,MV,-0.6,73.0833,81.81,75,100,17.94,overcast clouds
214,Keskin,TR,39.6731,33.6136,38.48,74,0,4.47,clear sky
215,Umm Kaddadah,SD,13.6017,26.6876,67.71,28,95,13.27,overcast clouds
216,Altay,CN,47.8667,88.1167,27.77,49,97,3.06,overcast clouds
217,Waipawa,NZ,-41.4122,175.5153,68.18,65,23,4.38,few clouds
218,Shimoda,JP,34.6667,138.95,68.54,70,27,8.14,scattered clouds
219,Pokhara,NP,28.2333,83.9833,66.29,38,0,2.59,clear sky
220,Pangnirtung,CA,66.1451,-65.7125,-5.06,90,97,4.68,overcast clouds
221,Mar Del Plata,AR,-38.0023,-57.5575,66.09,94,93,11.99,overcast clouds
222,Avera,US,33.194,-82.5271,67.51,91,100,12.12,overcast clouds
223,Bilma,NE,18.6853,12.9164,67.64,29,9,7.85,clear sky
224,Dalhousie,IN,32.5333,75.9833,44.78,38,0,6.24,clear sky
225,Henties Bay,NA,-22.116,14.2845,57.83,92,4,7.11,clear sky
226,Jumla,NP,29.2747,82.1838,49.42,30,0,1.74,clear sky
227,Rio Gallegos,AR,-51.6226,-69.2181,48.25,53,20,2.3,few clouds
228,Faya,SA,18.3851,42.4509,51.91,61,2,2.68,clear sky
229,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,82,20,12.62,few clouds
230,Christchurch,NZ,-43.5333,172.6333,70.0,52,5,11.5,clear sky
231,Sinjar,IQ,36.3209,41.8754,57.36,54,0,5.41,clear sky
232,Norman Wells,CA,65.282,-126.8329,-3.96,84,20,2.3,few clouds
233,San Matias,BO,-16.3667,-58.4,70.52,94,100,4.79,overcast clouds
234,Alugan,PH,12.2188,125.4808,83.48,79,12,8.08,few clouds
235,San Cristobal,VE,7.7669,-72.225,69.98,97,94,1.95,overcast clouds
236,Bol,TD,13.4586,14.7147,77.07,41,99,17.0,overcast clouds
237,Muroto,JP,33.2833,134.15,69.96,70,3,9.06,clear sky
238,Sept-Iles,CA,50.2001,-66.3821,28.92,96,100,10.36,overcast clouds
239,Hami,CN,42.8,93.45,39.99,32,0,1.28,clear sky
240,Oskarshamn,SE,57.2645,16.4484,57.97,81,7,14.76,clear sky
241,Emerald,AU,-23.5333,148.1667,86.34,42,0,7.81,clear sky
242,Quthing,LS,-30.4,27.7003,58.68,84,100,4.41,overcast clouds
243,Zhuanghe,CN,39.7008,122.9911,58.26,98,100,11.39,moderate rain
244,Fare,PF,-16.7,-151.0167,78.85,73,96,4.61,overcast clouds
245,Reims,FR,49.1667,4.0833,44.38,100,100,6.91,fog
246,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,14.97,few clouds
247,Ayan,RU,56.45,138.1667,26.35,51,100,15.17,overcast clouds
248,Waterloo,CA,43.4668,-80.5164,54.01,99,100,10.36,mist
249,Torres,BR,-29.3353,-49.7269,67.82,96,98,4.03,overcast clouds
250,Hervey Bay,AU,-25.2986,152.8535,73.67,61,1,10.33,clear sky
251,Carnarvon,AU,-24.8667,113.6333,69.49,45,0,20.29,clear sky
252,Islamkot,PK,24.6997,70.177,76.96,25,9,6.44,clear sky
253,Wilmington,US,34.2257,-77.9447,73.99,83,100,17.27,overcast clouds
254,Huarmey,PE,-10.0681,-78.1522,63.75,86,12,9.15,few clouds
255,Winnemucca,US,40.973,-117.7357,33.85,60,0,9.22,clear sky
256,Mbini,GQ,1.574,9.6134,74.84,91,100,6.69,light rain
257,Beringovskiy,RU,63.05,179.3167,9.9,92,43,14.92,scattered clouds
258,Wanaka,NZ,-44.7,169.15,60.17,76,100,4.23,overcast clouds
259,Buala,SB,-8.145,159.5921,79.32,85,100,2.08,light rain
260,Baturaja,ID,-4.1333,104.1667,86.25,65,100,1.72,overcast clouds
261,Stornoway,GB,58.2093,-6.3865,53.56,90,75,14.97,broken clouds
262,Husavik,IS,66.0449,-17.3389,38.32,95,100,4.43,overcast clouds
263,Asau,RO,46.4333,26.4,34.72,81,10,3.78,clear sky
264,Lagoa,PT,39.05,-27.9833,62.2,69,49,29.04,scattered clouds
265,Madang,PG,-5.2246,145.7966,86.76,63,100,7.31,overcast clouds
266,Codrington,AU,-38.2667,141.9667,60.4,74,100,14.29,overcast clouds
267,Bom Sucesso,BR,-21.0331,-44.7581,64.63,91,100,7.96,overcast clouds
268,Smithers,CA,54.7804,-127.1743,17.92,93,20,2.3,few clouds
269,Wolfen,DE,51.6667,12.2833,42.71,64,99,1.92,overcast clouds
270,Geraldton,AU,-28.7667,114.6,70.21,30,1,18.41,clear sky
271,Stawell,AU,-37.05,142.7667,68.34,66,100,5.79,moderate rain
272,Brae,GB,60.3964,-1.353,52.3,88,76,18.05,broken clouds
273,Zvishavane,ZW,-20.3267,30.0665,65.66,92,100,2.73,light rain
274,Kavieng,PG,-2.5744,150.7967,82.89,76,100,4.74,moderate rain
275,Xilitla,MX,21.3333,-98.9667,69.03,92,1,3.29,clear sky
276,Half Moon Bay,US,37.4636,-122.4286,54.91,78,0,12.66,clear sky
277,Snezhnogorsk,RU,69.1933,33.2531,31.78,99,100,5.88,light snow
278,Urengoy,RU,65.9667,78.3667,-13.56,96,9,6.96,clear sky
279,Nampula,MZ,-15.1165,39.2666,68.18,88,1,1.36,clear sky
280,Seydi,TM,39.4816,62.9137,38.35,60,8,8.43,clear sky
281,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,93,100,9.22,light snow
282,Nauchnyy Gorodok,RU,53.4203,83.521,29.26,86,75,11.18,light shower snow
283,Hazorasp,UZ,41.3194,61.0742,31.84,54,10,8.1,clear sky
284,Chama,CH,47.1821,8.4636,47.07,94,100,2.3,overcast clouds
285,Cairns,AU,-16.9167,145.7667,91.11,56,3,12.66,clear sky
286,Fort Smith,US,35.3859,-94.3986,44.64,57,100,11.5,overcast clouds
287,Rio Cuarto,AR,-33.1307,-64.3499,65.34,94,100,17.27,thunderstorm with rain
288,Fort Beaufort,ZA,-32.7748,26.6338,63.9,77,66,5.23,broken clouds
289,Launceston,AU,-41.45,147.1667,64.04,59,40,13.8,scattered clouds
290,Odweyne,SO,9.4092,45.064,68.0,73,5,8.14,clear sky
291,Manokwari,ID,-0.8667,134.0833,77.47,90,100,4.32,overcast clouds
292,Merauke,ID,-8.4667,140.3333,88.47,56,94,8.52,overcast clouds
293,Dinghai,CN,26.2847,119.7936,77.92,84,0,2.3,clear sky
294,Broken Hill,AU,-31.95,141.4333,88.47,29,85,15.64,overcast clouds
295,Auki,SB,-8.7676,160.7034,78.4,90,100,5.68,overcast clouds
296,Zhangjiakou,CN,40.81,114.8794,35.78,55,93,15.82,overcast clouds
297,Makakilo City,US,21.3469,-158.0858,77.32,54,20,13.8,few clouds
298,Verkhoyansk,RU,67.5447,133.385,-13.05,98,99,1.88,overcast clouds
299,Tarakan,ID,3.3,117.6333,87.3,70,40,4.61,light rain
300,San Luis,AR,-33.295,-66.3356,61.05,90,81,14.67,moderate rain
301,Hofn,IS,64.2539,-15.2082,42.48,87,100,11.21,overcast clouds
302,Mangrol,IN,21.1167,70.1167,78.98,44,3,11.03,clear sky
303,Gorom-Gorom,BF,14.4439,-0.2361,79.59,19,0,6.78,clear sky
304,Carballo,ES,43.213,-8.691,55.87,85,2,4.61,clear sky
305,Rivadavia,AR,-33.1905,-68.4608,62.51,62,45,9.78,scattered clouds
306,Cap Malheureux,MU,-19.9842,57.6142,75.47,64,37,1.99,scattered clouds
307,Hamina,FI,60.5697,27.1979,51.08,95,100,21.18,overcast clouds
308,Puerto Leguizamo,CO,-0.1934,-74.7819,71.64,97,35,1.57,scattered clouds
309,Epe,NG,6.5841,3.9834,76.19,92,66,3.8,light rain
310,Nalut,LY,30.3333,10.85,56.57,68,14,10.49,few clouds
311,Marystown,CA,47.1666,-55.1483,42.85,100,100,10.4,overcast clouds
312,Aklavik,CA,68.2191,-135.0107,2.95,94,41,7.29,scattered clouds
313,Biu,NG,10.6129,12.1946,68.27,30,85,7.11,overcast clouds
314,Lakhisarai,IN,25.1768,86.0932,72.81,48,0,7.83,clear sky
315,Waddan,LY,29.1614,16.139,58.59,53,0,4.32,clear sky
316,Darfield,GB,53.5339,-1.376,54.25,91,70,7.92,broken clouds
317,Bubaque,GW,11.2833,-15.8333,82.72,59,98,7.27,overcast clouds
318,Tahta,EG,26.7693,31.5021,61.7,62,0,7.65,clear sky
319,Konza,KE,-1.7426,37.1294,58.23,93,100,5.14,overcast clouds
320,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,34,0,20.13,clear sky
